width,cycles,cpu_memory_bits,ifa_full_rem_bits,ifa_rmu_compressed_bits,full_rem_over_cpu,rmu_over_cpu,cpu_ops,ifa_ops,ops_saved,speedup_model
2,1,2,10,8,5.0,4.0,16,4,12,4.0
2,2,2,10,8,5.0,4.0,32,8,24,4.0
2,4,2,10,8,5.0,4.0,64,16,48,4.0
2,8,2,10,8,5.0,4.0,128,32,96,4.0
2,16,2,10,8,5.0,4.0,256,64,192,4.0
2,32,2,10,8,5.0,4.0,512,128,384,4.0
4,1,4,20,14,5.0,3.5,16,4,12,4.0
4,2,4,20,14,5.0,3.5,32,8,24,4.0
4,4,4,20,14,5.0,3.5,64,16,48,4.0
4,8,4,20,14,5.0,3.5,128,32,96,4.0
4,16,4,20,14,5.0,3.5,256,64,192,4.0
4,32,4,20,14,5.0,3.5,512,128,384,4.0
8,1,8,40,26,5.0,3.25,16,4,12,4.0
8,2,8,40,26,5.0,3.25,32,8,24,4.0
8,4,8,40,26,5.0,3.25,64,16,48,4.0
8,8,8,40,26,5.0,3.25,128,32,96,4.0
8,16,8,40,26,5.0,3.25,256,64,192,4.0
8,32,8,40,26,5.0,3.25,512,128,384,4.0
16,1,16,80,50,5.0,3.125,16,4,12,4.0
16,2,16,80,50,5.0,3.125,32,8,24,4.0
16,4,16,80,50,5.0,3.125,64,16,48,4.0
16,8,16,80,50,5.0,3.125,128,32,96,4.0
16,16,16,80,50,5.0,3.125,256,64,192,4.0
16,32,16,80,50,5.0,3.125,512,128,384,4.0
32,1,32,160,98,5.0,3.0625,16,4,12,4.0
32,2,32,160,98,5.0,3.0625,32,8,24,4.0
32,4,32,160,98,5.0,3.0625,64,16,48,4.0
32,8,32,160,98,5.0,3.0625,128,32,96,4.0
32,16,32,160,98,5.0,3.0625,256,64,192,4.0
32,32,32,160,98,5.0,3.0625,512,128,384,4.0
64,1,64,320,194,5.0,3.03125,16,4,12,4.0
64,2,64,320,194,5.0,3.03125,32,8,24,4.0
64,4,64,320,194,5.0,3.03125,64,16,48,4.0
64,8,64,320,194,5.0,3.03125,128,32,96,4.0
64,16,64,320,194,5.0,3.03125,256,64,192,4.0
64,32,64,320,194,5.0,3.03125,512,128,384,4.0
128,1,128,640,386,5.0,3.015625,16,4,12,4.0
128,2,128,640,386,5.0,3.015625,32,8,24,4.0
128,4,128,640,386,5.0,3.015625,64,16,48,4.0
128,8,128,640,386,5.0,3.015625,128,32,96,4.0
128,16,128,640,386,5.0,3.015625,256,64,192,4.0
128,32,128,640,386,5.0,3.015625,512,128,384,4.0
256,1,256,1280,770,5.0,3.0078125,16,4,12,4.0
256,2,256,1280,770,5.0,3.0078125,32,8,24,4.0
256,4,256,1280,770,5.0,3.0078125,64,16,48,4.0
256,8,256,1280,770,5.0,3.0078125,128,32,96,4.0
256,16,256,1280,770,5.0,3.0078125,256,64,192,4.0
256,32,256,1280,770,5.0,3.0078125,512,128,384,4.0
