step,x,base,divisor,exp_next,quotient,remainder,exp_coord_RA,exp_coord_RD,exp_coord_T,div_coord_RA,div_coord_RD,div_coord_T,exp_reconstruct_ok,div_reconstruct_ok,exp_Y_rec,div_Y_rec
0,5,3,7,15,0,5,1,6,2,5,2,2,True,True,8,12
1,15,3,7,45,2,1,3,12,12,7,8,8,True,True,18,22
2,45,3,7,135,6,3,1,46,42,5,42,38,True,True,48,52
3,135,3,7,149,19,2,3,132,124,7,128,128,True,True,138,142
4,149,3,7,191,21,2,1,150,110,5,146,114,True,True,152,156
5,191,3,7,61,27,2,3,188,68,7,184,72,True,True,194,198
6,61,3,7,183,8,5,1,62,58,5,58,54,True,True,64,68
7,183,3,7,37,26,1,3,180,76,7,176,80,True,True,186,190
8,37,3,7,111,5,2,1,38,34,5,34,30,True,True,40,44
9,111,3,7,77,15,6,3,108,108,7,104,104,True,True,114,118
10,77,3,7,231,11,0,1,78,74,5,74,70,True,True,80,84
11,231,3,7,181,33,0,3,228,28,7,224,32,True,True,234,238
12,181,3,7,31,25,6,1,182,78,5,178,82,True,True,184,188
13,31,3,7,93,4,3,3,28,28,7,24,24,True,True,34,38
14,93,3,7,23,13,2,1,94,90,5,90,86,True,True,96,100
15,23,3,7,69,3,2,3,20,20,7,16,16,True,True,26,30
16,69,3,7,207,9,6,1,70,66,5,66,62,True,True,72,76
17,207,3,7,109,29,4,3,204,52,7,200,56,True,True,210,214
18,109,3,7,71,15,4,1,110,106,5,106,102,True,True,112,116
19,71,3,7,213,10,1,3,68,68,7,64,64,True,True,74,78
20,213,3,7,127,30,3,1,214,46,5,210,50,True,True,216,220
21,127,3,7,125,18,1,3,124,124,7,120,120,True,True,130,134
22,125,3,7,119,17,6,1,126,122,5,122,118,True,True,128,132
23,119,3,7,101,17,0,3,116,116,7,112,112,True,True,122,126
24,101,3,7,47,14,3,1,102,98,5,98,94,True,True,104,108
25,47,3,7,141,6,5,3,44,44,7,40,40,True,True,50,54
26,141,3,7,167,20,1,1,142,118,5,138,122,True,True,144,148
27,167,3,7,245,23,6,3,164,92,7,160,96,True,True,170,174
28,245,3,7,223,35,0,1,246,14,5,242,18,True,True,248,252
29,223,3,7,157,31,6,3,220,36,7,216,40,True,True,226,230
30,157,3,7,215,22,3,1,158,102,5,154,106,True,True,160,164
31,215,3,7,133,30,5,3,212,44,7,208,48,True,True,218,222
