coordinate,R_A,R_D,T,count,first_locations
"(19, 108, 100)",19,108,100,32,"[(24, 0, 6, 23, 123), (24, 0, 7, 23, 123), (24, 1, 6, 23, 123), (24, 1, 7, 23, 123), (25, 0, 6, 23, 123)]"
"(24, 101, 99)",24,101,99,32,"[(32, 2, 6, 25, 124), (32, 2, 7, 25, 124), (32, 3, 6, 25, 124), (32, 3, 7, 25, 124), (33, 2, 6, 25, 124)]"
"(19, 68, 60)",19,68,60,32,"[(24, 0, 4, 23, 83), (24, 0, 5, 23, 83), (24, 1, 4, 23, 83), (24, 1, 5, 23, 83), (25, 0, 4, 23, 83)]"
"(26, 101, 99)",26,101,99,32,"[(48, 2, 6, 27, 126), (48, 2, 7, 27, 126), (48, 3, 6, 27, 126), (48, 3, 7, 27, 126), (49, 2, 6, 27, 126)]"
"(16, 75, 59)",16,75,59,32,"[(24, 2, 4, 24, 83), (24, 2, 5, 24, 83), (24, 3, 4, 24, 83), (24, 3, 5, 24, 83), (25, 2, 4, 24, 83)]"
"(24, 99, 99)",24,99,99,32,"[(24, 2, 6, 24, 123), (24, 2, 7, 24, 123), (24, 3, 6, 24, 123), (24, 3, 7, 24, 123), (25, 2, 6, 24, 123)]"
"(19, 76, 60)",19,76,60,32,"[(56, 0, 4, 27, 87), (56, 0, 5, 27, 87), (56, 1, 4, 27, 87), (56, 1, 5, 27, 87), (57, 0, 4, 27, 87)]"
"(83, 40, 40)",83,40,40,32,"[(24, 4, 6, 83, 123), (24, 4, 7, 83, 123), (24, 5, 6, 83, 123), (24, 5, 7, 83, 123), (25, 4, 6, 83, 123)]"
"(20, 1, 1)",20,1,1,32,"[(0, 0, 2, 20, 21), (0, 0, 3, 20, 21), (0, 1, 2, 20, 21), (0, 1, 3, 20, 21), (1, 0, 2, 20, 21)]"
"(24, 1, 1)",24,1,1,32,"[(32, 0, 2, 24, 25), (32, 0, 3, 24, 25), (32, 1, 2, 24, 25), (32, 1, 3, 24, 25), (33, 0, 2, 24, 25)]"
"(16, 76, 60)",16,76,60,32,"[(32, 0, 4, 24, 84), (32, 0, 5, 24, 84), (32, 1, 4, 24, 84), (32, 1, 5, 24, 84), (33, 0, 4, 24, 84)]"
"(24, 100, 100)",24,100,100,32,"[(32, 0, 6, 24, 124), (32, 0, 7, 24, 124), (32, 1, 6, 24, 124), (32, 1, 7, 24, 124), (33, 0, 6, 24, 124)]"
"(16, 77, 59)",16,77,59,32,"[(32, 2, 4, 25, 84), (32, 2, 5, 25, 84), (32, 3, 4, 25, 84), (32, 3, 5, 25, 84), (33, 2, 4, 25, 84)]"
"(24, 7, 1)",24,7,1,32,"[(56, 0, 2, 27, 28), (56, 0, 3, 27, 28), (56, 1, 2, 27, 28), (56, 1, 3, 27, 28), (57, 0, 2, 27, 28)]"
"(27, 100, 100)",27,100,100,32,"[(56, 0, 6, 27, 127), (56, 0, 7, 27, 127), (56, 1, 6, 27, 127), (56, 1, 7, 27, 127), (57, 0, 6, 27, 127)]"
"(84, 40, 40)",84,40,40,32,"[(32, 4, 6, 84, 124), (32, 4, 7, 84, 124), (32, 5, 6, 84, 124), (32, 5, 7, 84, 124), (33, 4, 6, 84, 124)]"
"(24, 3, 1)",24,3,1,32,"[(40, 0, 2, 25, 26), (40, 0, 3, 25, 26), (40, 1, 2, 25, 26), (40, 1, 3, 25, 26), (41, 0, 2, 25, 26)]"
"(17, 76, 60)",17,76,60,32,"[(40, 0, 4, 25, 85), (40, 0, 5, 25, 85), (40, 1, 4, 25, 85), (40, 1, 5, 25, 85), (41, 0, 4, 25, 85)]"
"(25, 100, 100)",25,100,100,32,"[(40, 0, 6, 25, 125), (40, 0, 7, 25, 125), (40, 1, 6, 25, 125), (40, 1, 7, 25, 125), (41, 0, 6, 25, 125)]"
"(16, 79, 59)",16,79,59,32,"[(40, 2, 4, 26, 85), (40, 2, 5, 26, 85), (40, 3, 4, 26, 85), (40, 3, 5, 26, 85), (41, 2, 4, 26, 85)]"
"(24, 103, 99)",24,103,99,32,"[(40, 2, 6, 26, 125), (40, 2, 7, 26, 125), (40, 3, 6, 26, 125), (40, 3, 7, 26, 125), (41, 2, 6, 26, 125)]"
"(86, 40, 40)",86,40,40,32,"[(48, 4, 6, 86, 126), (48, 4, 7, 86, 126), (48, 5, 6, 86, 126), (48, 5, 7, 86, 126), (49, 4, 6, 86, 126)]"
"(85, 40, 40)",85,40,40,32,"[(40, 4, 6, 85, 125), (40, 4, 7, 85, 125), (40, 5, 6, 85, 125), (40, 5, 7, 85, 125), (41, 4, 6, 85, 125)]"
"(26, 1, 1)",26,1,1,32,"[(48, 0, 2, 26, 27), (48, 0, 3, 26, 27), (48, 1, 2, 26, 27), (48, 1, 3, 26, 27), (49, 0, 2, 26, 27)]"
"(18, 76, 60)",18,76,60,32,"[(48, 0, 4, 26, 86), (48, 0, 5, 26, 86), (48, 1, 4, 26, 86), (48, 1, 5, 26, 86), (49, 0, 4, 26, 86)]"
"(26, 100, 100)",26,100,100,32,"[(48, 0, 6, 26, 126), (48, 0, 7, 26, 126), (48, 1, 6, 26, 126), (48, 1, 7, 26, 126), (49, 0, 6, 26, 126)]"
"(16, 15, 1)",16,15,1,32,"[(24, 0, 2, 23, 24), (24, 0, 3, 23, 24), (24, 1, 2, 23, 24), (24, 1, 3, 23, 24), (25, 0, 2, 23, 24)]"
