step,module_i,module_j,A,B,R_A,R_D,T,coordinate,seen_count_after,is_reuse
0,0,1,20,20,20,0,0,"(20, 0, 0)",1,False
0,0,2,20,21,20,1,1,"(20, 1, 1)",1,False
0,0,3,20,21,20,1,1,"(20, 1, 1)",2,True
0,0,4,20,80,16,68,60,"(16, 68, 60)",1,False
0,0,5,20,80,16,68,60,"(16, 68, 60)",2,True
0,0,6,20,120,16,108,100,"(16, 108, 100)",1,False
0,0,7,20,120,16,108,100,"(16, 108, 100)",2,True
0,1,2,20,21,20,1,1,"(20, 1, 1)",3,True
0,1,3,20,21,20,1,1,"(20, 1, 1)",4,True
0,1,4,20,80,16,68,60,"(16, 68, 60)",3,True
0,1,5,20,80,16,68,60,"(16, 68, 60)",4,True
0,1,6,20,120,16,108,100,"(16, 108, 100)",3,True
0,1,7,20,120,16,108,100,"(16, 108, 100)",4,True
0,2,3,21,21,21,0,0,"(21, 0, 0)",1,False
0,2,4,21,80,16,69,59,"(16, 69, 59)",1,False
0,2,5,21,80,16,69,59,"(16, 69, 59)",2,True
0,2,6,21,120,16,109,99,"(16, 109, 99)",1,False
0,2,7,21,120,16,109,99,"(16, 109, 99)",2,True
0,3,4,21,80,16,69,59,"(16, 69, 59)",3,True
0,3,5,21,80,16,69,59,"(16, 69, 59)",4,True
0,3,6,21,120,16,109,99,"(16, 109, 99)",3,True
0,3,7,21,120,16,109,99,"(16, 109, 99)",4,True
0,4,5,80,80,80,0,0,"(80, 0, 0)",1,False
0,4,6,80,120,80,40,40,"(80, 40, 40)",1,False
0,4,7,80,120,80,40,40,"(80, 40, 40)",2,True
0,5,6,80,120,80,40,40,"(80, 40, 40)",3,True
0,5,7,80,120,80,40,40,"(80, 40, 40)",4,True
0,6,7,120,120,120,0,0,"(120, 0, 0)",1,False
1,0,1,20,20,20,0,0,"(20, 0, 0)",2,True
1,0,2,20,21,20,1,1,"(20, 1, 1)",5,True
1,0,3,20,21,20,1,1,"(20, 1, 1)",6,True
1,0,4,20,80,16,68,60,"(16, 68, 60)",5,True
1,0,5,20,80,16,68,60,"(16, 68, 60)",6,True
1,0,6,20,120,16,108,100,"(16, 108, 100)",5,True
1,0,7,20,120,16,108,100,"(16, 108, 100)",6,True
1,1,2,20,21,20,1,1,"(20, 1, 1)",7,True
1,1,3,20,21,20,1,1,"(20, 1, 1)",8,True
1,1,4,20,80,16,68,60,"(16, 68, 60)",7,True
1,1,5,20,80,16,68,60,"(16, 68, 60)",8,True
1,1,6,20,120,16,108,100,"(16, 108, 100)",7,True
1,1,7,20,120,16,108,100,"(16, 108, 100)",8,True
1,2,3,21,21,21,0,0,"(21, 0, 0)",2,True
1,2,4,21,80,16,69,59,"(16, 69, 59)",5,True
1,2,5,21,80,16,69,59,"(16, 69, 59)",6,True
1,2,6,21,120,16,109,99,"(16, 109, 99)",5,True
1,2,7,21,120,16,109,99,"(16, 109, 99)",6,True
1,3,4,21,80,16,69,59,"(16, 69, 59)",7,True
1,3,5,21,80,16,69,59,"(16, 69, 59)",8,True
1,3,6,21,120,16,109,99,"(16, 109, 99)",7,True
1,3,7,21,120,16,109,99,"(16, 109, 99)",8,True
1,4,5,80,80,80,0,0,"(80, 0, 0)",2,True
1,4,6,80,120,80,40,40,"(80, 40, 40)",5,True
1,4,7,80,120,80,40,40,"(80, 40, 40)",6,True
1,5,6,80,120,80,40,40,"(80, 40, 40)",7,True
1,5,7,80,120,80,40,40,"(80, 40, 40)",8,True
1,6,7,120,120,120,0,0,"(120, 0, 0)",2,True
2,0,1,20,20,20,0,0,"(20, 0, 0)",3,True
2,0,2,20,21,20,1,1,"(20, 1, 1)",9,True
2,0,3,20,21,20,1,1,"(20, 1, 1)",10,True
2,0,4,20,80,16,68,60,"(16, 68, 60)",9,True
2,0,5,20,80,16,68,60,"(16, 68, 60)",10,True
2,0,6,20,120,16,108,100,"(16, 108, 100)",9,True
2,0,7,20,120,16,108,100,"(16, 108, 100)",10,True
2,1,2,20,21,20,1,1,"(20, 1, 1)",11,True
2,1,3,20,21,20,1,1,"(20, 1, 1)",12,True
2,1,4,20,80,16,68,60,"(16, 68, 60)",11,True
2,1,5,20,80,16,68,60,"(16, 68, 60)",12,True
2,1,6,20,120,16,108,100,"(16, 108, 100)",11,True
2,1,7,20,120,16,108,100,"(16, 108, 100)",12,True
2,2,3,21,21,21,0,0,"(21, 0, 0)",3,True
