# IFÁ V4.5 Φ-P8 golden vectors
# input_hex output_hex tuple_bits
00 55 01010101
01 54 01010100
02 56 01010110
03 57 01010111
04 51 01010001
05 50 01010000
06 52 01010010
07 53 01010011
08 59 01011001
09 58 01011000
0A 5A 01011010
0B 5B 01011011
0C 5D 01011101
0D 5C 01011100
0E 5E 01011110
0F 5F 01011111
10 45 01000101
11 44 01000100
12 46 01000110
13 47 01000111
14 41 01000001
15 40 01000000
16 42 01000010
17 43 01000011
18 49 01001001
19 48 01001000
1A 4A 01001010
1B 4B 01001011
1C 4D 01001101
1D 4C 01001100
1E 4E 01001110
1F 4F 01001111
20 65 01100101
21 64 01100100
22 66 01100110
23 67 01100111
24 61 01100001
25 60 01100000
26 62 01100010
27 63 01100011
28 69 01101001
29 68 01101000
2A 6A 01101010
2B 6B 01101011
2C 6D 01101101
2D 6C 01101100
2E 6E 01101110
2F 6F 01101111
30 75 01110101
31 74 01110100
32 76 01110110
33 77 01110111
34 71 01110001
35 70 01110000
36 72 01110010
37 73 01110011
38 79 01111001
39 78 01111000
3A 7A 01111010
3B 7B 01111011
3C 7D 01111101
3D 7C 01111100
3E 7E 01111110
3F 7F 01111111
40 15 00010101
41 14 00010100
42 16 00010110
43 17 00010111
44 11 00010001
45 10 00010000
46 12 00010010
47 13 00010011
48 19 00011001
49 18 00011000
4A 1A 00011010
4B 1B 00011011
4C 1D 00011101
4D 1C 00011100
4E 1E 00011110
4F 1F 00011111
50 05 00000101
51 04 00000100
52 06 00000110
53 07 00000111
54 01 00000001
55 00 00000000
56 02 00000010
57 03 00000011
58 09 00001001
59 08 00001000
5A 0A 00001010
5B 0B 00001011
5C 0D 00001101
5D 0C 00001100
5E 0E 00001110
5F 0F 00001111
60 25 00100101
61 24 00100100
62 26 00100110
63 27 00100111
64 21 00100001
65 20 00100000
66 22 00100010
67 23 00100011
68 29 00101001
69 28 00101000
6A 2A 00101010
6B 2B 00101011
6C 2D 00101101
6D 2C 00101100
6E 2E 00101110
6F 2F 00101111
70 35 00110101
71 34 00110100
72 36 00110110
73 37 00110111
74 31 00110001
75 30 00110000
76 32 00110010
77 33 00110011
78 39 00111001
79 38 00111000
7A 3A 00111010
7B 3B 00111011
7C 3D 00111101
7D 3C 00111100
7E 3E 00111110
7F 3F 00111111
80 95 10010101
81 94 10010100
82 96 10010110
83 97 10010111
84 91 10010001
85 90 10010000
86 92 10010010
87 93 10010011
88 99 10011001
89 98 10011000
8A 9A 10011010
8B 9B 10011011
8C 9D 10011101
8D 9C 10011100
8E 9E 10011110
8F 9F 10011111
90 85 10000101
91 84 10000100
92 86 10000110
93 87 10000111
94 81 10000001
95 80 10000000
96 82 10000010
97 83 10000011
98 89 10001001
99 88 10001000
9A 8A 10001010
9B 8B 10001011
9C 8D 10001101
9D 8C 10001100
9E 8E 10001110
9F 8F 10001111
A0 A5 10100101
A1 A4 10100100
A2 A6 10100110
A3 A7 10100111
A4 A1 10100001
A5 A0 10100000
A6 A2 10100010
A7 A3 10100011
A8 A9 10101001
A9 A8 10101000
AA AA 10101010
AB AB 10101011
AC AD 10101101
AD AC 10101100
AE AE 10101110
AF AF 10101111
B0 B5 10110101
B1 B4 10110100
B2 B6 10110110
B3 B7 10110111
B4 B1 10110001
B5 B0 10110000
B6 B2 10110010
B7 B3 10110011
B8 B9 10111001
B9 B8 10111000
BA BA 10111010
BB BB 10111011
BC BD 10111101
BD BC 10111100
BE BE 10111110
BF BF 10111111
C0 D5 11010101
C1 D4 11010100
C2 D6 11010110
C3 D7 11010111
C4 D1 11010001
C5 D0 11010000
C6 D2 11010010
C7 D3 11010011
C8 D9 11011001
C9 D8 11011000
CA DA 11011010
CB DB 11011011
CC DD 11011101
CD DC 11011100
CE DE 11011110
CF DF 11011111
D0 C5 11000101
D1 C4 11000100
D2 C6 11000110
D3 C7 11000111
D4 C1 11000001
D5 C0 11000000
D6 C2 11000010
D7 C3 11000011
D8 C9 11001001
D9 C8 11001000
DA CA 11001010
DB CB 11001011
DC CD 11001101
DD CC 11001100
DE CE 11001110
DF CF 11001111
E0 E5 11100101
E1 E4 11100100
E2 E6 11100110
E3 E7 11100111
E4 E1 11100001
E5 E0 11100000
E6 E2 11100010
E7 E3 11100011
E8 E9 11101001
E9 E8 11101000
EA EA 11101010
EB EB 11101011
EC ED 11101101
ED EC 11101100
EE EE 11101110
EF EF 11101111
F0 F5 11110101
F1 F4 11110100
F2 F6 11110110
F3 F7 11110111
F4 F1 11110001
F5 F0 11110000
F6 F2 11110010
F7 F3 11110011
F8 F9 11111001
F9 F8 11111000
FA FA 11111010
FB FB 11111011
FC FD 11111101
FD FC 11111100
FE FE 11111110
FF FF 11111111
