candidate,is_prime,divisor,remainder,divisible,P_A,P_D,P_0,agreement_density,disagreement_density,zero_density
4294967029,1,3,1,0,1,29,34,0.015625,0.453125,0.53125
4294967029,1,5,4,0,2,27,35,0.03125,0.421875,0.546875
4294967029,1,7,3,0,2,28,34,0.03125,0.4375,0.53125
4294967029,1,11,1,0,1,30,33,0.015625,0.46875,0.515625
4294967029,1,13,2,0,2,28,34,0.03125,0.4375,0.53125
4294967029,1,17,6,0,2,27,35,0.03125,0.421875,0.546875
4294967029,1,19,5,0,2,28,34,0.03125,0.4375,0.53125
4294967029,1,23,21,0,3,27,34,0.046875,0.421875,0.53125
4294967029,1,29,10,0,3,27,34,0.046875,0.421875,0.53125
4294967029,1,31,16,0,3,28,33,0.046875,0.4375,0.515625
4294967087,1,3,2,0,2,27,35,0.03125,0.421875,0.546875
4294967087,1,5,2,0,2,27,35,0.03125,0.421875,0.546875
4294967087,1,7,5,0,3,26,35,0.046875,0.40625,0.546875
4294967087,1,11,4,0,3,26,35,0.046875,0.40625,0.546875
4294967087,1,13,8,0,3,26,35,0.046875,0.40625,0.546875
4294967087,1,17,13,0,1,29,34,0.015625,0.453125,0.53125
4294967087,1,19,6,0,2,28,34,0.03125,0.4375,0.53125
4294967087,1,23,10,0,3,27,34,0.046875,0.421875,0.53125
4294967087,1,29,10,0,3,27,34,0.046875,0.421875,0.53125
4294967087,1,31,12,0,4,26,34,0.0625,0.40625,0.53125
4294967111,1,3,2,0,2,26,36,0.03125,0.40625,0.5625
4294967111,1,5,1,0,2,26,36,0.03125,0.40625,0.5625
4294967111,1,7,1,0,3,25,36,0.046875,0.390625,0.5625
4294967111,1,11,6,0,2,27,35,0.03125,0.421875,0.546875
4294967111,1,13,6,0,2,27,35,0.03125,0.421875,0.546875
4294967111,1,17,3,0,1,28,35,0.015625,0.4375,0.546875
4294967111,1,19,11,0,2,27,35,0.03125,0.421875,0.546875
4294967111,1,23,11,0,3,26,35,0.046875,0.40625,0.546875
4294967111,1,29,5,0,2,28,34,0.03125,0.4375,0.53125
4294967111,1,31,5,0,3,27,34,0.046875,0.421875,0.53125
4294967143,1,3,1,0,2,27,35,0.03125,0.421875,0.546875
4294967143,1,5,3,0,2,27,35,0.03125,0.421875,0.546875
4294967143,1,7,5,0,3,26,35,0.046875,0.40625,0.546875
4294967143,1,11,5,0,2,28,34,0.03125,0.4375,0.53125
4294967143,1,13,12,0,2,28,34,0.03125,0.4375,0.53125
4294967143,1,17,1,0,1,29,34,0.015625,0.453125,0.53125
4294967143,1,19,5,0,2,28,34,0.03125,0.4375,0.53125
4294967143,1,23,20,0,3,27,34,0.046875,0.421875,0.53125
4294967143,1,29,8,0,2,29,33,0.03125,0.453125,0.515625
4294967143,1,31,6,0,3,28,33,0.046875,0.4375,0.515625
4294967161,1,3,1,0,1,29,34,0.015625,0.453125,0.53125
4294967161,1,5,1,0,1,29,34,0.015625,0.453125,0.53125
4294967161,1,7,2,0,1,30,33,0.015625,0.46875,0.515625
4294967161,1,11,1,0,2,28,34,0.03125,0.4375,0.53125
4294967161,1,13,4,0,2,28,34,0.03125,0.4375,0.53125
4294967161,1,17,2,0,2,27,35,0.03125,0.421875,0.546875
4294967161,1,19,4,0,2,28,34,0.03125,0.4375,0.53125
4294967161,1,23,15,0,2,29,33,0.03125,0.453125,0.515625
4294967161,1,29,26,0,3,27,34,0.046875,0.421875,0.53125
4294967161,1,31,24,0,3,28,33,0.046875,0.4375,0.515625
4294967189,1,3,2,0,1,28,35,0.015625,0.4375,0.546875
4294967189,1,5,4,0,2,26,36,0.03125,0.40625,0.5625
4294967189,1,7,2,0,2,27,35,0.03125,0.421875,0.546875
4294967189,1,11,7,0,1,29,34,0.015625,0.453125,0.53125
4294967189,1,13,6,0,2,27,35,0.03125,0.421875,0.546875
4294967189,1,17,13,0,2,26,36,0.03125,0.40625,0.5625
4294967189,1,19,13,0,2,27,35,0.03125,0.421875,0.546875
4294967189,1,23,20,0,3,26,35,0.046875,0.40625,0.546875
4294967189,1,29,25,0,3,26,35,0.046875,0.40625,0.546875
4294967189,1,31,21,0,3,27,34,0.046875,0.421875,0.53125
4294967197,1,3,1,0,1,29,34,0.015625,0.453125,0.53125
4294967197,1,5,2,0,2,27,35,0.03125,0.421875,0.546875
4294967197,1,7,3,0,2,28,34,0.03125,0.4375,0.53125
4294967197,1,11,4,0,2,28,34,0.03125,0.4375,0.53125
4294967197,1,13,1,0,3,26,35,0.046875,0.40625,0.546875
4294967197,1,17,4,0,2,27,35,0.03125,0.421875,0.546875
4294967197,1,19,2,0,2,28,34,0.03125,0.4375,0.53125
4294967197,1,23,5,0,3,27,34,0.046875,0.421875,0.53125
4294967197,1,29,4,0,4,25,35,0.0625,0.390625,0.546875
4294967197,1,31,29,0,4,26,34,0.0625,0.40625,0.53125
4294967231,1,3,2,0,2,29,33,0.03125,0.453125,0.515625
4294967231,1,5,1,0,2,29,33,0.03125,0.453125,0.515625
4294967231,1,7,2,0,3,28,33,0.046875,0.4375,0.515625
4294967231,1,11,5,0,3,28,33,0.046875,0.4375,0.515625
4294967231,1,13,9,0,3,28,33,0.046875,0.4375,0.515625
4294967231,1,17,4,0,2,29,33,0.03125,0.453125,0.515625
4294967231,1,19,17,0,3,28,33,0.046875,0.4375,0.515625
4294967231,1,23,16,0,4,27,33,0.0625,0.421875,0.515625
4294967231,1,29,9,0,4,27,33,0.0625,0.421875,0.515625
4294967231,1,31,1,0,5,26,33,0.078125,0.40625,0.515625
4294967279,1,3,2,0,2,29,33,0.03125,0.453125,0.515625
4294967279,1,5,4,0,2,29,33,0.03125,0.453125,0.515625
4294967279,1,7,1,0,3,28,33,0.046875,0.4375,0.515625
4294967279,1,11,9,0,3,28,33,0.046875,0.4375,0.515625
4294967279,1,13,5,0,3,28,33,0.046875,0.4375,0.515625
4294967279,1,17,1,0,1,31,32,0.015625,0.484375,0.5
4294967279,1,19,8,0,2,30,32,0.03125,0.46875,0.5
4294967279,1,23,18,0,3,29,32,0.046875,0.453125,0.5
4294967279,1,29,28,0,3,29,32,0.046875,0.453125,0.5
4294967279,1,31,18,0,4,28,32,0.0625,0.4375,0.5
4294967291,1,3,2,0,2,29,33,0.03125,0.453125,0.515625
4294967291,1,5,1,0,1,31,32,0.015625,0.484375,0.5
4294967291,1,7,6,0,2,30,32,0.03125,0.46875,0.5
4294967291,1,11,10,0,3,28,33,0.046875,0.4375,0.515625
4294967291,1,13,4,0,2,30,32,0.03125,0.46875,0.5
4294967291,1,17,13,0,2,29,33,0.03125,0.453125,0.515625
4294967291,1,19,1,0,3,28,33,0.046875,0.4375,0.515625
4294967291,1,23,7,0,3,29,32,0.046875,0.453125,0.5
4294967291,1,29,11,0,3,29,32,0.046875,0.453125,0.5
4294967291,1,31,30,0,4,28,32,0.0625,0.4375,0.5
4294967311,1,3,1,0,2,3,59,0.03125,0.046875,0.921875
4294967311,1,5,1,0,2,3,59,0.03125,0.046875,0.921875
4294967311,1,7,5,0,3,2,59,0.046875,0.03125,0.921875
4294967311,1,11,8,0,3,2,59,0.046875,0.03125,0.921875
