vector_id,Delta_Y,Delta_Cout,Delta_RA,Delta_RD,Delta_R0,Delta_T,multiplicity,example_A,example_B,example_Phi_A,example_Phi_B,example_direct_Cin,example_phi_Cin
1,00,0,00,00,00,00,12,00,01,01,00,0,0
2,11,0,00,00,00,11,8,00,01,01,00,0,1
3,00,0,00,01,01,01,4,00,10,01,10,1,0
4,00,0,01,01,00,01,4,00,11,01,11,1,0
5,01,0,00,00,00,01,4,10,10,10,10,0,1
6,01,0,00,01,01,00,4,00,10,01,10,0,0
7,01,0,01,01,00,00,4,00,11,01,11,1,1
8,10,0,01,00,01,10,4,00,00,01,01,0,0
9,10,1,00,01,01,11,4,00,10,01,10,0,1
10,10,1,01,01,00,11,4,00,11,01,11,0,1
11,11,0,01,00,01,11,4,00,00,01,01,0,1
12,11,1,00,01,01,10,4,00,10,01,10,1,1
13,11,1,01,01,00,10,4,00,11,01,11,0,0
