block_index,direct_Cin,phi_Cin,direct_Cout,phi_Cout,multiplicity
0,0,0,0,0,32768
0,0,0,0,1,8192
0,0,0,1,0,8192
0,0,0,1,1,16384
1,0,0,0,0,16384
1,0,0,0,1,4096
1,0,0,1,0,4096
1,0,0,1,1,8192
1,0,1,0,0,3072
1,0,1,0,1,2048
1,0,1,1,1,3072
1,1,0,0,0,3072
1,1,0,1,0,2048
1,1,0,1,1,3072
1,1,1,0,0,4096
1,1,1,0,1,2048
1,1,1,1,0,2048
1,1,1,1,1,8192
2,0,0,0,0,13312
2,0,0,0,1,3328
2,0,0,1,0,3328
2,0,0,1,1,6656
2,0,1,0,0,3072
2,0,1,0,1,2048
2,0,1,1,1,3072
2,1,0,0,0,3072
2,1,0,1,0,2048
2,1,0,1,1,3072
2,1,1,0,0,5632
2,1,1,0,1,2816
2,1,1,1,0,2816
2,1,1,1,1,11264
3,0,0,0,0,12544
3,0,0,0,1,3136
3,0,0,1,0,3136
3,0,0,1,1,6272
3,0,1,0,0,3072
3,0,1,0,1,2048
3,0,1,1,1,3072
3,1,0,0,0,3072
3,1,0,1,0,2048
3,1,0,1,1,3072
3,1,1,0,0,6016
3,1,1,0,1,3008
3,1,1,1,0,3008
3,1,1,1,1,12032
