basis_number,generator_1_observed_id,generator_1_closure_id,generator_1_bits,generator_2_observed_id,generator_2_closure_id,generator_2_bits,generator_3_observed_id,generator_3_closure_id,generator_3_bits,generator_4_observed_id,generator_4_closure_id,generator_4_bits,generator_5_observed_id,generator_5_closure_id,generator_5_bits
1,V01,G01,00000010101,V02,G02,00001010001,V03,G04,01000000001,V06,G08,10001000110,V07,G16,10100010111
2,V01,G01,00000010101,V02,G02,00001010001,V03,G04,01000000001,V06,G08,10001000110,V08,G19,10101010011
3,V01,G01,00000010101,V02,G02,00001010001,V03,G04,01000000001,V06,G08,10001000110,V11,G20,11100010110
4,V01,G01,00000010101,V02,G02,00001010001,V03,G04,01000000001,V06,G08,10001000110,V12,G23,11101010010
5,V01,G01,00000010101,V02,G02,00001010001,V03,G04,01000000001,V07,G16,10100010111,V09,G15,11000000011
6,V01,G01,00000010101,V02,G02,00001010001,V03,G04,01000000001,V07,G16,10100010111,V10,G12,11001000111
7,V01,G01,00000010101,V02,G02,00001010001,V03,G04,01000000001,V08,G19,10101010011,V09,G15,11000000011
8,V01,G01,00000010101,V02,G02,00001010001,V03,G04,01000000001,V08,G19,10101010011,V10,G12,11001000111
9,V01,G01,00000010101,V02,G02,00001010001,V03,G04,01000000001,V09,G15,11000000011,V11,G20,11100010110
10,V01,G01,00000010101,V02,G02,00001010001,V03,G04,01000000001,V09,G15,11000000011,V12,G23,11101010010
11,V01,G01,00000010101,V02,G02,00001010001,V03,G04,01000000001,V10,G12,11001000111,V11,G20,11100010110
12,V01,G01,00000010101,V02,G02,00001010001,V03,G04,01000000001,V10,G12,11001000111,V12,G23,11101010010
13,V01,G01,00000010101,V02,G02,00001010001,V04,G05,01000010100,V06,G08,10001000110,V07,G16,10100010111
14,V01,G01,00000010101,V02,G02,00001010001,V04,G05,01000010100,V06,G08,10001000110,V08,G19,10101010011
15,V01,G01,00000010101,V02,G02,00001010001,V04,G05,01000010100,V06,G08,10001000110,V11,G20,11100010110
16,V01,G01,00000010101,V02,G02,00001010001,V04,G05,01000010100,V06,G08,10001000110,V12,G23,11101010010
17,V01,G01,00000010101,V02,G02,00001010001,V04,G05,01000010100,V07,G16,10100010111,V09,G15,11000000011
18,V01,G01,00000010101,V02,G02,00001010001,V04,G05,01000010100,V07,G16,10100010111,V10,G12,11001000111
19,V01,G01,00000010101,V02,G02,00001010001,V04,G05,01000010100,V08,G19,10101010011,V09,G15,11000000011
20,V01,G01,00000010101,V02,G02,00001010001,V04,G05,01000010100,V08,G19,10101010011,V10,G12,11001000111
21,V01,G01,00000010101,V02,G02,00001010001,V04,G05,01000010100,V09,G15,11000000011,V11,G20,11100010110
22,V01,G01,00000010101,V02,G02,00001010001,V04,G05,01000010100,V09,G15,11000000011,V12,G23,11101010010
23,V01,G01,00000010101,V02,G02,00001010001,V04,G05,01000010100,V10,G12,11001000111,V11,G20,11100010110
24,V01,G01,00000010101,V02,G02,00001010001,V04,G05,01000010100,V10,G12,11001000111,V12,G23,11101010010
25,V01,G01,00000010101,V02,G02,00001010001,V05,G06,01001010000,V06,G08,10001000110,V07,G16,10100010111
26,V01,G01,00000010101,V02,G02,00001010001,V05,G06,01001010000,V06,G08,10001000110,V08,G19,10101010011
27,V01,G01,00000010101,V02,G02,00001010001,V05,G06,01001010000,V06,G08,10001000110,V11,G20,11100010110
28,V01,G01,00000010101,V02,G02,00001010001,V05,G06,01001010000,V06,G08,10001000110,V12,G23,11101010010
29,V01,G01,00000010101,V02,G02,00001010001,V05,G06,01001010000,V07,G16,10100010111,V09,G15,11000000011
30,V01,G01,00000010101,V02,G02,00001010001,V05,G06,01001010000,V07,G16,10100010111,V10,G12,11001000111
31,V01,G01,00000010101,V02,G02,00001010001,V05,G06,01001010000,V08,G19,10101010011,V09,G15,11000000011
32,V01,G01,00000010101,V02,G02,00001010001,V05,G06,01001010000,V08,G19,10101010011,V10,G12,11001000111
33,V01,G01,00000010101,V02,G02,00001010001,V05,G06,01001010000,V09,G15,11000000011,V11,G20,11100010110
34,V01,G01,00000010101,V02,G02,00001010001,V05,G06,01001010000,V09,G15,11000000011,V12,G23,11101010010
35,V01,G01,00000010101,V02,G02,00001010001,V05,G06,01001010000,V10,G12,11001000111,V11,G20,11100010110
36,V01,G01,00000010101,V02,G02,00001010001,V05,G06,01001010000,V10,G12,11001000111,V12,G23,11101010010
37,V01,G01,00000010101,V02,G02,00001010001,V06,G08,10001000110,V07,G16,10100010111,V09,G15,11000000011
38,V01,G01,00000010101,V02,G02,00001010001,V06,G08,10001000110,V07,G16,10100010111,V10,G12,11001000111
39,V01,G01,00000010101,V02,G02,00001010001,V06,G08,10001000110,V07,G16,10100010111,V11,G20,11100010110
40,V01,G01,00000010101,V02,G02,00001010001,V06,G08,10001000110,V07,G16,10100010111,V12,G23,11101010010
41,V01,G01,00000010101,V02,G02,00001010001,V06,G08,10001000110,V08,G19,10101010011,V09,G15,11000000011
42,V01,G01,00000010101,V02,G02,00001010001,V06,G08,10001000110,V08,G19,10101010011,V10,G12,11001000111
43,V01,G01,00000010101,V02,G02,00001010001,V06,G08,10001000110,V08,G19,10101010011,V11,G20,11100010110
