left_id,left_bits,right_id,right_bits,xor_bits,xor_member,xor_member_id,left_fields,right_fields,xor_fields
V01,00000010101,V02,00001010001,00001000100,False,,Delta_Y=00 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=01,Delta_Y=00 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=01,Delta_Y=00 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=00
V01,00000010101,V05,01001010000,01001000101,False,,Delta_Y=00 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=01,Delta_Y=01 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=00,Delta_Y=01 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=01
V01,00000010101,V06,10001000110,10001010011,False,,Delta_Y=00 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=01,Delta_Y=10 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=10,Delta_Y=10 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=11
V01,00000010101,V07,10100010111,10100000010,False,,Delta_Y=00 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=01,Delta_Y=10 | Delta_Cout=1 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=11,Delta_Y=10 | Delta_Cout=1 | Delta_RA=00 | Delta_RD=00 | Delta_R0=00 | Delta_T=10
V01,00000010101,V08,10101010011,10101000110,False,,Delta_Y=00 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=01,Delta_Y=10 | Delta_Cout=1 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=11,Delta_Y=10 | Delta_Cout=1 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=10
V01,00000010101,V09,11000000011,11000010110,False,,Delta_Y=00 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=01,Delta_Y=11 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=00 | Delta_R0=00 | Delta_T=11,Delta_Y=11 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=10
V01,00000010101,V10,11001000111,11001010010,False,,Delta_Y=00 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=01,Delta_Y=11 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=11,Delta_Y=11 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=10
V01,00000010101,V11,11100010110,11100000011,False,,Delta_Y=00 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=01,Delta_Y=11 | Delta_Cout=1 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=10,Delta_Y=11 | Delta_Cout=1 | Delta_RA=00 | Delta_RD=00 | Delta_R0=00 | Delta_T=11
V01,00000010101,V12,11101010010,11101000111,False,,Delta_Y=00 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=01,Delta_Y=11 | Delta_Cout=1 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=10,Delta_Y=11 | Delta_Cout=1 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=11
V02,00001010001,V01,00000010101,00001000100,False,,Delta_Y=00 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=01,Delta_Y=00 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=01,Delta_Y=00 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=00
V02,00001010001,V04,01000010100,01001000101,False,,Delta_Y=00 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=01,Delta_Y=01 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=00,Delta_Y=01 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=01
V02,00001010001,V06,10001000110,10000010111,False,,Delta_Y=00 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=01,Delta_Y=10 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=10,Delta_Y=10 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=11
V02,00001010001,V07,10100010111,10101000110,False,,Delta_Y=00 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=01,Delta_Y=10 | Delta_Cout=1 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=11,Delta_Y=10 | Delta_Cout=1 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=10
V02,00001010001,V08,10101010011,10100000010,False,,Delta_Y=00 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=01,Delta_Y=10 | Delta_Cout=1 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=11,Delta_Y=10 | Delta_Cout=1 | Delta_RA=00 | Delta_RD=00 | Delta_R0=00 | Delta_T=10
V02,00001010001,V09,11000000011,11001010010,False,,Delta_Y=00 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=01,Delta_Y=11 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=00 | Delta_R0=00 | Delta_T=11,Delta_Y=11 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=10
V02,00001010001,V10,11001000111,11000010110,False,,Delta_Y=00 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=01,Delta_Y=11 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=11,Delta_Y=11 | Delta_Cout=0 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=10
V02,00001010001,V11,11100010110,11101000111,False,,Delta_Y=00 | Delta_Cout=0 | Delta_RA=01 | Delta_RD=01 | Delta_R0=00 | Delta_T=01,Delta_Y=11 | Delta_Cout=1 | Delta_RA=00 | Delta_RD=01 | Delta_R0=01 | Delta_T=10,Delta_Y=11 | Delta_Cout=1 | Delta_RA=01 | Delta_RD=00 | Delta_R0=01 | Delta_T=11
