left_id,left_bits,right_id,right_bits,xor_bits,xor_member,xor_member_id
V00,00000000000,V00,00000000000,00000000000,True,V00
V00,00000000000,V01,00000010101,00000010101,True,V01
V00,00000000000,V02,00001010001,00001010001,True,V02
V00,00000000000,V03,01000000001,01000000001,True,V03
V00,00000000000,V04,01000010100,01000010100,True,V04
V00,00000000000,V05,01001010000,01001010000,True,V05
V00,00000000000,V06,10001000110,10001000110,True,V06
V00,00000000000,V07,10100010111,10100010111,True,V07
V00,00000000000,V08,10101010011,10101010011,True,V08
V00,00000000000,V09,11000000011,11000000011,True,V09
V00,00000000000,V10,11001000111,11001000111,True,V10
V00,00000000000,V11,11100010110,11100010110,True,V11
V00,00000000000,V12,11101010010,11101010010,True,V12
V01,00000010101,V00,00000000000,00000010101,True,V01
V01,00000010101,V01,00000010101,00000000000,True,V00
V01,00000010101,V02,00001010001,00001000100,False,
V01,00000010101,V03,01000000001,01000010100,True,V04
V01,00000010101,V04,01000010100,01000000001,True,V03
V01,00000010101,V05,01001010000,01001000101,False,
V01,00000010101,V06,10001000110,10001010011,False,
V01,00000010101,V07,10100010111,10100000010,False,
V01,00000010101,V08,10101010011,10101000110,False,
V01,00000010101,V09,11000000011,11000010110,False,
V01,00000010101,V10,11001000111,11001010010,False,
V01,00000010101,V11,11100010110,11100000011,False,
V01,00000010101,V12,11101010010,11101000111,False,
V02,00001010001,V00,00000000000,00001010001,True,V02
V02,00001010001,V01,00000010101,00001000100,False,
V02,00001010001,V02,00001010001,00000000000,True,V00
V02,00001010001,V03,01000000001,01001010000,True,V05
V02,00001010001,V04,01000010100,01001000101,False,
V02,00001010001,V05,01001010000,01000000001,True,V03
V02,00001010001,V06,10001000110,10000010111,False,
V02,00001010001,V07,10100010111,10101000110,False,
V02,00001010001,V08,10101010011,10100000010,False,
V02,00001010001,V09,11000000011,11001010010,False,
V02,00001010001,V10,11001000111,11000010110,False,
V02,00001010001,V11,11100010110,11101000111,False,
V02,00001010001,V12,11101010010,11100000011,False,
V03,01000000001,V00,00000000000,01000000001,True,V03
V03,01000000001,V01,00000010101,01000010100,True,V04
V03,01000000001,V02,00001010001,01001010000,True,V05
V03,01000000001,V03,01000000001,00000000000,True,V00
V03,01000000001,V04,01000010100,00000010101,True,V01
V03,01000000001,V05,01001010000,00001010001,True,V02
V03,01000000001,V06,10001000110,11001000111,True,V10
V03,01000000001,V07,10100010111,11100010110,True,V11
V03,01000000001,V08,10101010011,11101010010,True,V12
V03,01000000001,V09,11000000011,10000000010,False,
V03,01000000001,V10,11001000111,10001000110,True,V06
V03,01000000001,V11,11100010110,10100010111,True,V07
V03,01000000001,V12,11101010010,10101010011,True,V08
V04,01000010100,V00,00000000000,01000010100,True,V04
V04,01000010100,V01,00000010101,01000000001,True,V03
V04,01000010100,V02,00001010001,01001000101,False,
V04,01000010100,V03,01000000001,00000010101,True,V01
V04,01000010100,V04,01000010100,00000000000,True,V00
V04,01000010100,V05,01001010000,00001000100,False,
V04,01000010100,V06,10001000110,11001010010,False,
V04,01000010100,V07,10100010111,11100000011,False,
V04,01000010100,V08,10101010011,11101000111,False,
V04,01000010100,V09,11000000011,10000010111,False,
V04,01000010100,V10,11001000111,10001010011,False,
V04,01000010100,V11,11100010110,10100000010,False,
V04,01000010100,V12,11101010010,10101000110,False,
V05,01001010000,V00,00000000000,01001010000,True,V05
V05,01001010000,V01,00000010101,01001000101,False,
V05,01001010000,V02,00001010001,01000000001,True,V03
V05,01001010000,V03,01000000001,00001010001,True,V02
V05,01001010000,V04,01000010100,00001000100,False,
V05,01001010000,V05,01001010000,00000000000,True,V00
V05,01001010000,V06,10001000110,11000010110,False,
V05,01001010000,V07,10100010111,11101000111,False,
V05,01001010000,V08,10101010011,11100000011,False,
V05,01001010000,V09,11000000011,10001010011,False,
V05,01001010000,V10,11001000111,10000010111,False,
V05,01001010000,V11,11100010110,10101000110,False,
V05,01001010000,V12,11101010010,10100000010,False,
V06,10001000110,V00,00000000000,10001000110,True,V06
V06,10001000110,V01,00000010101,10001010011,False,
V06,10001000110,V02,00001010001,10000010111,False,
V06,10001000110,V03,01000000001,11001000111,True,V10
V06,10001000110,V04,01000010100,11001010010,False,
V06,10001000110,V05,01001010000,11000010110,False,
V06,10001000110,V06,10001000110,00000000000,True,V00
V06,10001000110,V07,10100010111,00101010001,False,
V06,10001000110,V08,10101010011,00100010101,False,
V06,10001000110,V09,11000000011,01001000101,False,
V06,10001000110,V10,11001000111,01000000001,True,V03
V06,10001000110,V11,11100010110,01101010000,False,
V06,10001000110,V12,11101010010,01100010100,False,
V07,10100010111,V00,00000000000,10100010111,True,V07
V07,10100010111,V01,00000010101,10100000010,False,
V07,10100010111,V02,00001010001,10101000110,False,
V07,10100010111,V03,01000000001,11100010110,True,V11
V07,10100010111,V04,01000010100,11100000011,False,
V07,10100010111,V05,01001010000,11101000111,False,
V07,10100010111,V06,10001000110,00101010001,False,
V07,10100010111,V07,10100010111,00000000000,True,V00
V07,10100010111,V08,10101010011,00001000100,False,
V07,10100010111,V09,11000000011,01100010100,False,
V07,10100010111,V10,11001000111,01101010000,False,
