candidate,is_prime,divisor,remainder,divisible,P_A,P_D,P_0,R_A,R_D,R_0
4294967291,1,3,2,0,2,29,33,0000000000000003,00000000fffffff8,ffffffff00000004
4294967291,1,5,1,0,1,31,32,0000000000000001,00000000fffffffe,ffffffff00000000
4294967291,1,7,6,0,2,30,32,0000000000000003,00000000fffffffc,ffffffff00000000
4294967291,1,11,10,0,3,28,33,000000000000000b,00000000fffffff0,ffffffff00000004
4294967291,1,13,4,0,2,30,32,0000000000000009,00000000fffffff6,ffffffff00000000
4294967291,1,17,13,0,2,29,33,0000000000000011,00000000ffffffea,ffffffff00000004
4294967291,1,19,1,0,3,28,33,0000000000000013,00000000ffffffe8,ffffffff00000004
4294967291,1,23,7,0,3,29,32,0000000000000013,00000000ffffffec,ffffffff00000000
4294967291,1,29,11,0,3,29,32,0000000000000019,00000000ffffffe6,ffffffff00000000
4294967291,1,31,30,0,4,28,32,000000000000001b,00000000ffffffe4,ffffffff00000000
4294967357,1,3,2,0,1,6,57,0000000000000001,000000010000003e,fffffffeffffffc0
4294967357,1,5,2,0,2,4,58,0000000000000005,0000000100000038,fffffffeffffffc2
4294967357,1,7,2,0,2,5,57,0000000000000005,000000010000003a,fffffffeffffffc0
4294967357,1,11,10,0,2,5,57,0000000000000009,0000000100000036,fffffffeffffffc0
4294967357,1,13,5,0,3,3,58,000000000000000d,0000000100000030,fffffffeffffffc2
4294967357,1,17,11,0,2,4,58,0000000000000011,000000010000002c,fffffffeffffffc2
4294967357,1,19,10,0,2,5,57,0000000000000011,000000010000002e,fffffffeffffffc0
4294967357,1,23,4,0,3,4,57,0000000000000015,000000010000002a,fffffffeffffffc0
4294967357,1,29,19,0,4,2,58,000000000000001d,0000000100000020,fffffffeffffffc2
4294967357,1,31,3,0,4,3,57,000000000000001d,0000000100000022,fffffffeffffffc0
17179869143,1,3,2,0,2,30,32,0000000000000003,00000003ffffffd4,fffffffc00000028
17179869143,1,5,3,0,2,30,32,0000000000000005,00000003ffffffd2,fffffffc00000028
17179869143,1,7,3,0,3,29,32,0000000000000007,00000003ffffffd0,fffffffc00000028
17179869143,1,11,8,0,2,31,31,0000000000000003,00000003ffffffdc,fffffffc00000020
17179869143,1,13,8,0,2,31,31,0000000000000005,00000003ffffffda,fffffffc00000020
17179869143,1,17,14,0,2,30,32,0000000000000011,00000003ffffffc6,fffffffc00000028
17179869143,1,19,2,0,3,29,32,0000000000000013,00000003ffffffc4,fffffffc00000028
17179869143,1,23,7,0,4,28,32,0000000000000017,00000003ffffffc0,fffffffc00000028
17179869143,1,29,23,0,3,30,31,0000000000000015,00000003ffffffca,fffffffc00000020
17179869143,1,31,6,0,4,29,31,0000000000000017,00000003ffffffc8,fffffffc00000020
4294967292,0,3,0,1,0,32,32,0000000000000000,00000000ffffffff,ffffffff00000000
4294967292,0,5,2,0,1,30,33,0000000000000004,00000000fffffff9,ffffffff00000002
4294967292,0,7,0,1,1,31,32,0000000000000004,00000000fffffffb,ffffffff00000000
4294967292,0,11,0,1,1,31,32,0000000000000008,00000000fffffff7,ffffffff00000000
4294967292,0,13,5,0,2,29,33,000000000000000c,00000000fffffff1,ffffffff00000002
4294967292,0,17,14,0,1,30,33,0000000000000010,00000000ffffffed,ffffffff00000002
4294967292,0,19,2,0,1,31,32,0000000000000010,00000000ffffffef,ffffffff00000000
4294967292,0,23,8,0,2,30,32,0000000000000014,00000000ffffffeb,ffffffff00000000
4294967292,0,29,12,0,3,28,33,000000000000001c,00000000ffffffe1,ffffffff00000002
4294967292,0,31,0,1,3,29,32,000000000000001c,00000000ffffffe3,ffffffff00000000
4294967313,0,3,0,1,1,3,60,0000000000000001,0000000100000012,fffffffeffffffec
4294967313,0,5,3,0,1,3,60,0000000000000001,0000000100000014,fffffffeffffffea
4294967313,0,7,0,1,1,4,59,0000000000000001,0000000100000016,fffffffeffffffe8
4294967313,0,11,10,0,1,4,59,0000000000000001,000000010000001a,fffffffeffffffe4
4294967313,0,13,0,1,1,4,59,0000000000000001,000000010000001c,fffffffeffffffe2
4294967313,0,17,1,0,2,1,61,0000000000000011,0000000100000000,fffffffeffffffee
4294967313,0,19,4,0,2,2,60,0000000000000011,0000000100000002,fffffffeffffffec
4294967313,0,23,6,0,2,3,59,0000000000000011,0000000100000006,fffffffeffffffe8
4294967313,0,29,4,0,2,3,59,0000000000000011,000000010000000c,fffffffeffffffe2
4294967313,0,31,21,0,2,4,58,0000000000000011,000000010000000e,fffffffeffffffe0
17179869144,0,3,0,1,0,32,32,0000000000000000,00000003ffffffdb,fffffffc00000024
17179869144,0,5,4,0,0,32,32,0000000000000000,00000003ffffffdd,fffffffc00000022
17179869144,0,7,4,0,0,33,31,0000000000000000,00000003ffffffdf,fffffffc00000020
17179869144,0,11,9,0,1,31,32,0000000000000008,00000003ffffffd3,fffffffc00000024
17179869144,0,13,9,0,1,31,32,0000000000000008,00000003ffffffd5,fffffffc00000022
17179869144,0,17,15,0,1,30,33,0000000000000010,00000003ffffffc9,fffffffc00000026
17179869144,0,19,3,0,1,31,32,0000000000000010,00000003ffffffcb,fffffffc00000024
17179869144,0,23,8,0,1,32,31,0000000000000010,00000003ffffffcf,fffffffc00000020
17179869144,0,29,24,0,2,30,32,0000000000000018,00000003ffffffc5,fffffffc00000022
17179869144,0,31,7,0,2,31,31,0000000000000018,00000003ffffffc7,fffffffc00000020
